sampID	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
CB_24-00901	CB	1	-0.045032534304173116	0.008851385079217811	0.04834000745286059	-0.10740881295808247	0.021065062826248315	-0.002541340871405158	0.03743861786536121	-0.01548643908426442	0.032890328132479996	-0.039315888447658806
CB_24-00902	CB	2	-0.051420080459890216	-0.005071048102508746	-0.00732138398400789	0.014628721139336165	0.001369808665252728	-0.04069435344305355	0.06549435155623091	-0.010462079609534533	0.1607831001516008	-0.046206752043038576
CB_24-00903	CB	3	-0.003841246785470376	-0.06230313729727684	0.038029233908245016	-0.0038515079427533516	0.08344395705657484	0.15078897027073043	0.1841108712937672	-0.07898469911688527	-0.06286411805126471	0.042697763053365076
CB_24-00904	CB	4	-0.03816218979546937	-0.015993995884702406	0.06327574136532432	-0.08382166422853443	0.1364697513533524	0.3487092501860633	0.4315332823418322	-0.23456701729321391	-0.0879866215790422	-3.037508535433109e-4
CB_24-00905	CB	5	-0.01958791506690588	-0.13148624250890673	0.2384166164399657	-0.1190530706281196	0.3274973040844802	0.19963972739540065	-0.06949296245520159	0.48132543007552564	0.03154648708419863	0.3896168670824727
CB_24-00906	CB	6	-0.06674186250654837	0.023089231526479126	0.00401955335164772	-0.010423819514639728	-0.01788143563230837	-0.06312454423637034	0.04548598554059529	0.05995547202384159	0.00267058415772449	0.034800020149480845
CR_24-06901	CR	7	0.13543128686818365	0.09813776272092223	-0.03728795256218452	-0.02382981366518655	-0.042559279930871524	0.08432683381040885	-0.10382558821380974	-0.09787003993359898	0.08983902571680696	0.0738665337634743
CR_24-06902	CR	8	0.1179993325329581	0.06476396374803928	-0.03645167893489942	-0.005815501654728987	-0.007821016049498817	0.022140301379770543	-0.0730319985314859	-0.04364479014216107	0.05650402508094671	0.03678244261099217
CR_24-06903	CR	9	0.17308435230198121	0.11154809036067365	-0.008452301040816235	-0.07559726551068813	-0.05776790680960002	0.03530917800896488	-0.011587815694509535	0.02920665727222271	0.006715028848455373	-0.019067588000776514
CR_24-06904	CR	10	0.2591156422562599	0.08933050365875331	0.06031505440757118	-0.06964612636176865	-0.0516667653255939	0.09666119783651071	-0.08921187601114325	0.07687938544490619	-0.11414965622780421	-0.07702285623332353
CR_24-06905	CR	11	0.23158337852360883	0.11508231202545367	-0.006583647225399697	-0.07826774140880893	-0.06304662637931223	0.08764182916942832	-0.044601668928476446	0.026001072021435423	0.05210233747133906	0.008328247270046968
CR_24-06906	CR	12	0.3736463170488712	-0.15553199460349879	0.12826108859762264	0.20156856518180347	0.23227511248347207	-0.35324880762422584	0.29305514909845154	0.07604065061615967	0.13767715359439317	0.07466564807733667
CR_24-06907	CR	13	0.3169948199559779	-0.023611954354673375	0.04201363566669454	0.12289153978863984	0.1245841147646612	-0.2752232818235298	0.21071431543874086	0.0910112616190431	0.02389659566206051	0.0031258638639015124
CR_24-06908	CR	14	0.24096416741036186	0.15504946465190295	-0.009953585775635748	-0.09513123982347034	-0.0724064354445035	0.05393796161166889	0.014453913569155152	-0.0057803732744896585	-0.15601086336898815	-0.10856796872754898
CR_24-06909	CR	15	0.15220237283806498	0.03884616706407228	-0.02558225686196427	-0.05475781748987876	0.015416423980444266	0.11396458200916128	-0.17207270644378575	-0.15437979055548462	0.18709201984303686	0.1756379575672005
CR_24-06910	CR	16	0.17083517317723207	0.09314082839203489	-0.012813213045002884	-0.020378680372402577	-0.029436332489876538	0.022579766111382852	-0.023942063358022292	-0.0075151078206878025	-0.0412414435264619	-0.048872362119164486
CR_24-06911	CR	17	0.18971967090368264	0.08406724619482937	-0.011938784907992757	0.034363288680117746	0.028170612765935132	-0.13509069468722829	0.12240576262407177	0.05438123654065611	0.015117420227948222	-0.00839049820543894
CR_24-06912	CR	18	0.2078097236076766	-0.008224878342115329	0.022313098812941485	-0.01744360144395591	-0.06509616905072563	0.06997472113462411	-0.02218189032973608	-0.0303616770462244	-0.10241334955496195	-0.0365544090862254
CR_24-06913	CR	19	0.2617631832731564	0.07589180837739283	0.03499275113298885	-0.04697790923873478	-0.049638639821986685	0.12569914288641226	-0.10110402892198468	0.06345878397166174	-0.11013173239948203	-0.06571241546348999
CR_24-06914	CR	20	0.22846359237832106	0.1305038762164211	-0.03230227597416536	-0.04681763111209919	-0.060131541182167125	0.06728621354427071	-0.00298467975894684	-0.024693056940764152	-0.1425736792665694	-0.09237016439555479
CR_24-06915	CR	21	0.19218686990361133	0.07126047253209494	-0.006043809983380049	-0.030759622004364717	-0.057886726383512	0.047948453427658494	-0.019973477187750832	-0.015187234335537078	-0.08650466752558775	-0.017820469017305385
