sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-07451,	23-07451,	Pelee_Island	1	-0.03284333716841689	0.013263175730774297	-0.11239963268157654	-0.05879504473761345	0.0378827623507767	-0.017533984695824883	0.045883980262129705	-0.04391345441310312	0.01278150197391836
23-07452,	23-07451,	Pelee_Island	2	0.02214069104978253	0.052810542056175865	0.031239165074405384	-0.06882452463165495	-0.03491810153840913	-0.08529114079588719	0.05128169526903875	-0.09247628356259681	0.07349060473279487
23-07453,	23-07451,	Pelee_Island	3	-0.019438116136291872	-0.058154282515639574	0.06115380209499721	0.1631541951012641	-0.054373019826289115	-0.01709477449102855	-0.01077573882905365	-0.0443417239102346	-0.016709084152630303
23-07454,	23-07451,	Pelee_Island	4	0.023438127199758685	0.04566218516858475	0.07124791252176171	-0.025392185434579717	-0.08139704652863516	0.020767544411908444	-0.11501028159554573	-0.002408607424914999	0.03447051607244597
23-07455,	23-07451,	Pelee_Island	5	0.010437109337599948	0.07745366733623617	0.04045739954543104	-0.04362413179272205	-0.06128798381157842	-0.05032270510331662	0.008186906110112684	-0.06228432704765954	0.032223075236525976
23-07456,	23-07451,	Pelee_Island	6	-0.02472178978550736	-0.04069122788834445	-0.05554076260441268	0.14010802182131057	0.009843032627080438	0.04983685447083566	0.005122230008610812	-0.019436604089311915	0.09077316103800803
23-07457,	23-07451,	Pelee_Island	7	0.02810561305965375	0.06628152657059827	0.028953877544659022	0.031410958886760515	-0.028157514479734302	-0.0021289200112432766	-0.07450292910065169	0.014737614273169816	-0.003272836119948124
23-07458,	23-07451,	Pelee_Island	8	0.01778710187699387	0.024146883017257093	0.02214600931829444	0.004596242566384193	0.012764064171555229	0.05474498803436241	-0.05472622512151404	0.07189721007096256	0.04640520353235438
23-07459,	23-07451,	Pelee_Island	9	-0.016327599428273647	0.02235007219076271	-2.4201426951281357e-4	-0.003215146315292794	-0.012442411178350238	-0.05346670072467083	-0.013461209512033362	-0.12435394934171634	0.031200535262774217
23-07460,	23-07451,	Pelee_Island	10	-0.006249642878581208	-0.05882156418613696	-0.031910292863905204	0.025340349469992807	-0.0560658696263619	-0.020024309871127313	-0.06133801467307159	-0.01558746049908838	-0.0072017983049844966
23-07461,	23-07451,	Pelee_Island	11	-0.09300419219858362	-0.017504169443727152	-0.02735130958812204	-0.02173925944601174	0.032827255033690605	-0.11806797214957176	-0.02317413495343998	0.04285840205577085	-0.027810091242401087
23-07462,	23-07451,	Pelee_Island	12	0.020873746738323304	0.06153493490905927	-0.007801352398430501	-0.022219546372348742	-0.01928041206627089	-0.025932159173887526	0.04802652687055492	0.02672715115182006	-0.032589335393161646
23-07463,	23-07451,	Pelee_Island	13	-0.017163468207852934	-0.08639968745292115	0.1109390087620136	0.14908516708249506	0.009160931910475862	-0.014517848018140878	0.014900776643242186	-0.054866423634942096	0.061922630643681253
23-07464,	23-07451,	Pelee_Island	14	-0.05554932895781764	-0.06355441330998558	-0.08120504915435194	0.1395767132126715	0.037452924807766914	-0.018081132922495358	-0.02351488851874234	0.014080382323253787	0.12987724394626504
