sampID	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
CB_24-00901	CB	1	0.02116493030690915	0.0524021178862437	0.10990691849254142	-0.023393050872683837	0.03430642739669753	-0.013066541123670426	0.05110691949380131	-0.029286524201698264	0.011314012095974057	-0.0012059278683565677
CB_24-00902	CB	2	0.01560828290672489	-0.009567687493946597	0.0017642374281358064	-0.02945104547382424	0.02973075938008407	-0.012048078456466674	0.14121614070106786	0.1605670620207157	0.03490111865925039	-0.07312053813763368
CB_24-00903	CB	3	-0.05631987648823189	0.037380329342504154	0.027700036794252536	0.10138812413597455	0.23056008386129553	-0.07557381204823635	-0.0789574410210247	-0.034046050683972456	-0.02072371531285151	0.023648988548164534
CB_24-00904	CB	4	-0.004218032529624383	0.06626915760533697	0.11626956573368619	0.15547489133713316	0.5518483284974305	-0.21855115394603816	-0.06950811056224142	-0.06424316219158417	-0.08173885347716225	0.04556792413609921
CB_24-00905	CB	5	-0.11493773547298597	0.2412702405643577	0.20503106642674956	0.33269325715112874	0.025004471322261537	0.5228378911099066	-0.2702209401136376	0.35217622955946515	0.1567950439894554	-0.16945069379223082
CB_24-00906	CB	6	0.047621541423862865	0.0010337037711832253	0.021411858986896105	-0.056442053715894266	-0.003758106895778282	0.04172169578766266	-0.026709778810000626	0.03494651272493519	0.061282791417443465	0.10676082716023114
DR_24-00907	DR	22	0.015345832354246868	0.12305380938549754	-0.05831604978296476	-0.1297672066150281	0.0019411336731333245	-0.010291955767532765	0.005784124818345199	-0.015893451325995775	-0.03331271098947235	0.002935833862354464
DR_24-00908	DR	23	0.046347107251586105	0.024968326449263	0.07122582319938148	-0.013941377927464374	-0.013699353724963642	0.014396459894105887	0.013571884471724735	-0.03984760394735906	0.004566173447861092	0.09058098508932831
DR_24-00909	DR	24	0.04563718541445345	-0.018408574467280087	0.017875209101133716	-0.05364424041572296	-0.008153184367412468	0.011002420601102084	-0.021020478312812715	-0.005798925588004045	4.0392386546449915e-4	0.041510529507419215
DR_24-00910	DR	25	0.039953141971535384	0.05046617163573543	0.03867476012258356	0.02636342230246676	-0.038876513940000176	0.08148042702923389	0.03495134759381213	-0.11923692767293476	-0.14688275263771278	0.019215659024479186
DR_24-00911	DR	26	0.06689869434604433	0.028679886939596274	0.07390005910193306	0.005534717296651448	0.005410240754321588	0.08657856433922496	-0.03432083084397575	0.052836648665824465	0.022438751936657765	0.004684071139006905
DR_24-00912	DR	27	0.07431355407750519	-0.01797653209738033	0.023070514944001086	-0.05571918939624862	0.007931391697503343	-0.010418533433196556	0.013934966739514387	0.021659243855700033	0.015523727189230223	0.025693168738571033
DR_24-00913	DR	28	0.07749473341977584	0.0014540307254596232	0.04994717129527996	-0.04888465183914806	-0.024519217120881287	0.026764722289470785	-0.01627022648716478	-0.030485702230759602	0.028288625873285192	0.03746528345852128
DR_24-12060	DR	29	-0.047328862128161904	0.15206982875959082	0.06639696163309043	0.19610623556015683	-0.1161505714688425	0.2216278956926087	0.14718045738502844	-0.3064379237574121	-0.4159795317291438	0.03543702631466962
LP_24-00914	LP	30	0.04302469085122387	-0.06015183344143974	-0.17723566299669258	0.032689184519821335	0.06765818069126814	0.10407997793487792	-0.027640265203014394	0.021724276490740255	-0.023621874113074717	0.023799853378798457
LP_24-00915	LP	31	0.04157100214406211	0.011167450951863053	0.015322363734547227	-0.03993726772667061	4.360587347310152e-5	-0.007649702623071879	-0.01667518464227652	0.025830318530972812	0.043123234239764725	0.0642988762401147
LP_24-00916	LP	32	0.030783409203139173	0.05121021225224034	-0.011919001472899905	-0.05272629456142475	-0.006123917743744919	0.022295659168498336	-0.027783917940708003	-0.013353653053871345	0.023062945658213756	-0.018931005768217705
LP_24-00917	LP	33	0.03894334918872901	0.021202350815614876	0.044520165937934175	-0.019668870413415196	-0.04220690497107411	-0.03544889738747478	-0.01896201260528735	0.024114456384324037	0.07856886259678665	0.08838877273233209
LP_24-00918	LP	34	0.03330329996514091	0.01902508885430538	0.05139030603940585	-0.04653294638310662	-0.00871637971436845	-0.06125697803443448	0.07401416867941082	0.017488776590417948	0.07306648361956058	0.12206836046915329
LP_24-00919	LP	35	0.015820935345386943	-0.002120048821670968	0.07668370883549397	-0.0805507153804107	0.002463657791773377	0.04225446350936954	-0.03428236561880474	-0.030421344460170863	0.06843920918484331	0.08167822345917224
LP_24-00920	LP	36	-0.05479670471484063	0.01299358278689999	-0.01871793977378199	0.02644765928659981	-0.08772425099550274	-0.07661423474985553	0.03816359465931979	-0.030738850234316717	0.028652504976793197	0.1291535342206011
LP_24-00921	LP	37	-0.019480948136037877	0.004919882822620712	1.6522442018680056e-4	0.03827640270897906	-0.07905512904522993	-0.061967697224331174	0.013161994006208433	-0.014406140019944627	0.09809481084890714	0.08006589676875153
LP_24-00922	LP	38	-0.007762246864409986	0.023458760405468328	-0.10667334845605346	0.06814031075508369	0.019057908406324625	-0.009939745429670653	0.09496016961643167	-0.1755294103241281	0.20342560856345454	-0.0615080786137422
LP_24-00923	LP	39	0.021441555074923877	-7.588757610791529e-4	-0.003111974518717489	-0.03269290688462946	-0.0057347730684216836	-0.039140920236604315	0.050305126750687934	0.016321106681156855	0.056161575934328425	0.09824288445420162
