sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-07451,	23-07451,	Pelee_Island	1	0.016593929165940866	-0.10959590109651385	-0.025367197587436108	0.07473799235769911	-0.03500912843522978	0.04359524941832504	-0.025221704692693997	0.0018122336234951014	-0.009275559716105258
23-07452,	23-07451,	Pelee_Island	2	-0.06166522359016349	0.03475504992254097	-0.012557257014326348	0.06824409787532645	0.06171170356393278	0.10836366643032055	-0.05078608563050143	0.08303878603969257	0.01796998760246423
23-07453,	23-07451,	Pelee_Island	3	0.04098983740692405	0.05044905910379771	-0.0018928456532050775	-0.17443388585018527	0.04757261604200777	0.051040822629686886	-0.04001355228620171	-0.01928990520385209	0.04840859647218598
23-07454,	23-07451,	Pelee_Island	4	-0.07074487923163353	0.09476499862129645	-0.026725497543055768	0.007372971429302336	0.037925383267573484	-0.1239024638717081	-0.03761414608462316	0.04971193934027606	-0.045390993275519126
23-07455,	23-07451,	Pelee_Island	5	-0.08453273915014181	0.030138577615885016	-0.006972283610341731	0.037545314710371036	0.06621004727882934	0.04097567967063634	-0.02709666590875913	0.055588532917491724	-0.01452378487274077
23-07456,	23-07451,	Pelee_Island	6	0.04583603223317623	-0.05672170802028842	-0.0176842269317683	-0.1352045045175752	-0.06523838638616397	-0.0031014369635829903	-0.027562526730818618	0.07033395759926425	0.05660793684561447
23-07457,	23-07451,	Pelee_Island	7	-0.08110246444543906	0.022608875452425847	-0.0010568222711882513	-0.037601633164881854	0.028178865780846912	-0.08348811814756832	-0.02294629821664268	-0.0037101610360627847	-0.05513922454124372
23-07458,	23-07451,	Pelee_Island	8	-0.029865093805482107	0.02756211229176686	0.012976640341560125	-0.01089512145921312	-0.03236288874067908	-0.10304152725346367	0.016702540684133724	0.03179642657657649	-0.009478686735941459
23-07459,	23-07451,	Pelee_Island	9	-0.02190372660872572	-0.01567688558358804	7.725410293561719e-4	0.011639006106975436	0.03854577598734492	0.07171465704613042	-0.10618978109175366	0.02064764759548934	0.026930068893805455
23-07460,	23-07451,	Pelee_Island	10	0.056493043617988944	0.003916718341872558	-0.06781162781635848	-0.033277994282404716	0.044727571727083165	-0.015936683405775698	-0.04332419012220942	-0.04082778674937527	0.07513938228046861
